abs: float|int|null
dom_text_replace_whole_text: null
dom_text_split_text: false|null
dom_userdatahandler_handle: null
dom_xpath_evaluate: null
dom_xpath_query: null
dom_xpath_register_ns: bool|null
dom_xpath_register_php_functions: null|true
easter_date: null
easter_days: null
error_clear_last: null
error_get_last: array|null
error_log: bool|null
exif_imagetype: false|int|null
exif_read_data: array|false|null
exif_tagname: false|null|string
exif_thumbnail: false|null|string
exp: float|null
expm1: float|null
extract: int|null
ezmlm_hash: int|null
filter_has_var: bool
filter_id: false|int|null
filter_input_array: false|null
filter_list: array|null
filter_var_array: false|null
floatval: float|null
floor: float|null
flush: null
fmod: float|null
fprintf: false|int|null
frenchtojd: int|null
fsockopen: null
ftok: int|null
get_browser: array|false|null
get_cfg_var: array|false|null|string
get_current_user: null|string
get_headers: array|false|null
get_html_translation_table: array|null
get_include_path: false|null|string
get_magic_quotes_gpc: false|null
get_magic_quotes_runtime: false|null
getdate: array|false
getenv: array|false|string
getimagesize: null
getimagesizefromstring: null
getlastmod: false|int|null
getmygid: false|int|null
getmyinode: false|int|null
getmypid: false|int|null
getmyuid: false|int|null
getopt: array|false
getprotobyname: false|int|null
getprotobynumber: false|null|string
getrusage: array|false|null
getservbyname: false|int|null
getservbyport: false|null|string
gettimeofday: null
gettype: null|string
gmdate: null
gmmktime: null
gmstrftime: null
grapheme_extract: false|string
grapheme_stripos: false|int|null
grapheme_stristr: null
grapheme_strlen: false|int|null
grapheme_strpos: false|int|null
grapheme_strripos: false|int|null
grapheme_strrpos: false|int|null
grapheme_strstr: null
grapheme_substr: false|string
gregoriantojd: int|null
hash: null
hash_algos: array
hash_copy: false|null|object
hash_equals: bool|null
hash_file: null
hash_final: null|string
hash_hkdf: false|null|string
hash_hmac: null
hash_hmac_algos: array
hash_hmac_file: null
hash_init: false|null
hash_pbkdf2: false|null|string
hash_update: null|true
hash_update_file: bool|null
hash_update_stream: false|int|null
header: null
header_remove: null
headers_list: array|null
headers_sent: bool|null
hexdec: null
highlight_file: bool|null
highlight_string: bool|null
hrtime: false
html_entity_decode: false|null|string
htmlentities: null
htmlspecialchars: null
htmlspecialchars_decode: false|null|string
http_build_query: false|null|string
http_response_code: bool|int|null
hypot: float|null
idate: false|int
idn_to_ascii: null
idn_to_utf8: null
ignore_user_abort: int|null
image_type_to_extension: false|string
image_type_to_mime_type: null|string
in_array: null
inet_ntop: false|string
ini_get: false|null|string
ini_get_all: array|false|null
ini_restore: null
ini_set: false|null|string
intdiv: int|null
intl_error_name: false|string
intl_get_error_code: int
intl_get_error_message: string
intl_is_failure: bool
intval: int|null
ip2long: false|int|null
iptcembed: bool|null|string
iptcparse: array|false|null
is_array: null
is_bool: bool
is_callable: bool|null
is_countable: bool|null
is_finite: bool|null
is_float: null
is_infinite: bool|null
is_int: null
is_iterable: bool|null
is_nan: bool|null
is_null: null
is_numeric: bool|null
is_object: null
is_resource: null
is_scalar: bool|null
is_soap_fault: bool
is_string: null
is_uploaded_file: bool|null
iterator_apply: false|int|null
iterator_count: false|int|null
iterator_to_array: array|false|null
jddayofweek: int|null|string
jdmonthname: null|string
jdtofrench: null|string
jdtogregorian: null|string
jdtojewish: false|null|string
jdtojulian: null|string
jdtounix: false|int|null
jewishtojd: int|null
json_decode: null
json_encode: false|null|string
json_last_error: int|null
json_last_error_msg: null|string
juliantojd: int|null
key: null
krsort: bool
ksort: bool
