abs: false|float|int
dom_element_remove_attribute: bool|null
dom_element_remove_attribute_node: false|null|probably-null
dom_element_remove_attribute_ns: null
dom_element_set_attribute: bool|null|probably-null
dom_element_set_attribute_node: false|null|probably-null
dom_element_set_attribute_node_ns: false|null|probably-null
dom_element_set_attribute_ns: false|null
dom_element_set_id_attribute: null
dom_element_set_id_attribute_node: null
dom_element_set_id_attribute_ns: null
dom_import_simplexml: null|probably-null
dom_namednodemap_count: false|probably-null
dom_namednodemap_get_named_item: null|probably-null
dom_namednodemap_get_named_item_ns: null|probably-null
dom_namednodemap_item: null
dom_namednodemap_remove_named_item: probably-null
dom_namednodemap_remove_named_item_ns: probably-null
dom_namednodemap_set_named_item: probably-null
dom_namednodemap_set_named_item_ns: probably-null
dom_namelist_get_name: probably-null
dom_namelist_get_namespace_uri: probably-null
dom_node_append_child: false|null|probably-null
dom_node_clone_node: false|null|probably-null
dom_node_compare_document_position: probably-null
dom_node_get_feature: probably-null
dom_node_get_user_data: probably-null
dom_node_has_attributes: bool|null|probably-null
dom_node_has_child_nodes: bool|null|probably-null
dom_node_insert_before: false|null|probably-null
dom_node_is_default_namespace: bool|null
dom_node_is_equal_node: probably-null
dom_node_is_same_node: bool|null|probably-null
dom_node_is_supported: bool|probably-null
dom_node_lookup_namespace_uri: null|string
dom_node_lookup_prefix: null|string
dom_node_normalize: null|probably-null
dom_node_remove_child: false|null
dom_node_replace_child: false|null|probably-null
dom_node_set_user_data: probably-null
dom_nodelist_count: false|probably-null
dom_nodelist_item: mixed
dom_string_extend_find_offset16: probably-null
dom_string_extend_find_offset32: probably-null
dom_text_is_whitespace_in_element_content: bool|null|probably-null
dom_text_replace_whole_text: probably-null
dom_text_split_text: false|null|probably-null
dom_userdatahandler_handle: probably-null
dom_xpath_evaluate: probably-null
dom_xpath_query: probably-null
dom_xpath_register_ns: bool
dom_xpath_register_php_functions: probably-null|true
each: array|false|probably-null
easter_date: probably-null
easter_days: probably-null
enchant_broker_describe: false|probably-null
enchant_broker_dict_exists: bool
enchant_broker_free: bool
enchant_broker_free_dict: bool
enchant_broker_get_dict_path: false|string
enchant_broker_get_error: false|string
enchant_broker_init: false|probably-null|resource
enchant_broker_list_dicts: false|probably-null
enchant_broker_request_dict: false|probably-null|resource
enchant_broker_request_pwl_dict: false|probably-null|resource
enchant_broker_set_dict_path: bool
enchant_broker_set_ordering: bool
enchant_dict_add_to_personal: false|probably-null
enchant_dict_add_to_session: false|probably-null
enchant_dict_check: bool
enchant_dict_describe: false|probably-null
enchant_dict_get_error: false|string
enchant_dict_is_in_session: bool
enchant_dict_quick_check: bool|probably-null
enchant_dict_store_replacement: false|probably-null
enchant_dict_suggest: array|false|probably-null
end: mixed
error_clear_last: probably-null
error_get_last: array|probably-null
error_log: bool
error_reporting: int|probably-null
exif_imagetype: false|int|probably-null
exif_read_data: array|false
exif_tagname: false|string
exif_thumbnail: false|string
exp: float
expm1: float
extension_loaded: bool|probably-null
extract: int|probably-null
ezmlm_hash: int
file_exists: probably-null
fileatime: probably-null
filectime: probably-null
filegroup: probably-null
fileinode: probably-null
filemtime: probably-null
fileowner: probably-null
fileperms: probably-null
filesize: probably-null
filetype: probably-null
filter_has_var: bool
filter_id: false|int
filter_input: mixed
filter_input_array: false|null|probably-null
filter_list: array|probably-null
filter_var: mixed
filter_var_array: false|probably-null
floatval: float
floor: false|float
flush: probably-null
fmod: float
forward_static_call: mixed
forward_static_call_array: mixed
fprintf: false|int|probably-null
frenchtojd: int
fsockopen: probably-null
